rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,rebalancing_normalization_features_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,1.0,,SelectKBest,,6,1.7404556274414062e-05,already_evaluated,0.015199947357177734,0.51_0.25_0.53_0.47_0.5,0.65_0.66_0.64_0.62_0.61,1.6080168247222901,0.4525025758304794,0.63,0.72,0.8,1.0,0.55,0.86,0.83,0.63547511885084,1746698754.8545215,,RandomForestClassifier,,,,,75,6,,4,2,1,,gini,True,,
SMOTE,,8,mitigation_rebalancing_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.1,,SelectKBest,,4,5.9604644775390625e-06,already_evaluated,0.10096631050109864,0.0_0.32_0.64_0.0_0.34,0.5_0.51_0.5_0.51_0.5,5.478091907501221,0.25875851600833066,0.75,0.71,0.73,0.83,0.46,0.7,0.82,0.5043491419100987,1746698754.8820457,distance,KNeighborsClassifier,,,20,,,,euclidean,,,,,,,,
SMOTE,,6,features_normalization_mitigation_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.75,PCA,4,,4.0531158447265625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746698754.9097357,,RandomForestClassifier,,,,,25,4,,6,3,3,,gini,True,,
NearMiss,4,,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,FunctionTransformer,,,,,SelectKBest,,5,3.814697265625e-06,already_evaluated,0.04007430076599121,0.47_0.4_0.54_0.57_0.45,0.65_0.66_0.65_0.66_0.67,0.10957074165344238,0.48567197214997676,0.58,0.67,0.7,1.0,0.52,0.63,0.76,0.6579008818350676,1746698754.936843,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,,FunctionTransformer,,,5.0067901611328125e-06,already_evaluated,0.1819986343383789,0.32_0.29_0.45_0.24_0.38,0.66_0.66_0.66_0.67_0.64,0.05611505508422852,0.33563257544585545,0.56,0.53,0.64,1.0,0.34,0.54,0.65,0.6574417761051919,1746698754.9649832,uniform,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,2,,4.5299530029296875e-06,already_evaluated,0.006392812728881836,0.45_0.44_0.31_0.2_0.24,0.63_0.63_0.62_0.65_0.63,0.566690731048584,0.32764975785258743,0.39,0.56,0.59,1.0,0.33,0.61,0.83,0.6318436900538826,1746698754.9929254,,MLPClassifier,lbfgs,5,,1,,,,,,,constant,,,0.0001,relu
SMOTE,,6,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,2.0,200,0.5,,PCA,2,,4.0531158447265625e-06,already_evaluated,0.1878063678741455,0.33_0.35_0.38_0.57_0.47,0.52_0.51_0.51_0.51_0.51,8.020455455780029,0.4220417545674026,0.46,0.61,0.67,0.69,0.82,0.54,0.72,0.5110346855019676,1746698755.0214577,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,6,normalization_rebalancing_features_mitigation_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,4.0531158447265625e-06,already_evaluated,0.009092330932617188,0.22_0.22_0.24_0.11_0.04,0.67_0.67_0.66_0.66_0.65,0.16330838203430176,0.16670620170095368,0.39,0.47,0.53,1.0,0.23,0.22,0.31,0.6611080923775764,1746698755.0511997,,RandomForestClassifier,,,,,10,4,,5,2,3,,gini,True,,
SMOTE,,8,normalization_features_rebalancing_mitigation_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,0.1,,PCA,2,,4.0531158447265625e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746698755.0802314,uniform,KNeighborsClassifier,,,12,,,,manhattan,,,,,,,,
FunctionTransformer,,,normalization_features_rebalancing_mitigation_classification,,,,,MinMaxScaler,LFR_wrapper,2.0,100,2.0,,PCA,4,,3.5762786865234375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746698755.106478,,MLPClassifier,lbfgs,25,,10,,,,,,,adaptive,,,0.0001,logistic
