rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,mitigation_normalization_features_rebalancing_classification,False,,False,,StandardScaler,LFR_wrapper,1.0,200,2.0,,SelectKBest,,9,117.87801432609558,success,0.020975780487060548,0.41_0.65_0.7_0.57_0.33,0.65_0.61_0.63_0.62_0.64,8.696229219436646,0.5297115297054347,0.74,0.72,0.8,0.99,0.58,0.85,0.74,0.6289043707394035,1746709675.3003547,,RandomForestClassifier,,,,,75,6,,5,3,5,,gini,True,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,2.0,,PCA,3,,34.200886964797974,success,0.014783287048339843,0.44_0.56_0.71_0.74_0.35,0.63_0.64_0.63_0.62_0.62,6.7824913501739506,0.5596425088862335,0.74,0.73,0.84,1.0,0.62,0.85,0.74,0.6284934404235122,1746709556.6116273,,RandomForestClassifier,,,,,25,4,,3,4,4,,gini,False,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.5,PCA,6,,2.1881587505340576,success,0.1337282180786133,0.28_0.42_0.49_0.42_0.13,0.68_0.69_0.67_0.68_0.68,0.13907179832458497,0.3463904253361271,0.72,0.7,0.72,1.0,0.35,0.54,0.55,0.6785238161401382,1746709522.3677444,distance,KNeighborsClassifier,,,19,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,10,2.0,,SelectKBest,,6,111.31129813194275,success,0.013840961456298827,0.43_0.54_0.77_0.61_0.31,0.64_0.64_0.62_0.62_0.64,13.137963676452637,0.5304636907342688,0.72,0.74,0.84,1.0,0.62,0.85,0.78,0.6323218357916593,1746709520.137449,,RandomForestClassifier,,,,,10,6,,4,2,3,,gini,True,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,10,2.0,,FunctionTransformer,,,60.29096055030823,success,0.020189905166625978,0.74_0.54_0.71_0.76_0.51,0.63_0.64_0.62_0.62_0.63,11.986431694030761,0.6520528296962487,0.8,0.75,0.89,1.0,0.69,0.88,0.79,0.6292931261641934,1746709408.7806675,,RandomForestClassifier,,,,,75,6,,5,4,4,,gini,False,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,2.0,,SelectKBest,,2,130.7035002708435,success,0.022121715545654296,0.44_0.55_0.71_0.57_0.72,0.63_0.64_0.63_0.64_0.61,10.432196426391602,0.5988411090114306,0.75,0.76,0.83,1.0,0.66,0.84,0.76,0.6315482892874279,1746709348.4498487,,RandomForestClassifier,,,,,100,6,,4,3,3,,gini,True,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,0.5,10,1.0,,SelectKBest,,8,78.51951885223389,success,0.12490658760070801,0.71_0.0_0.42_0.0_0.35,0.5_0.5_0.51_0.52_0.5,9.926399278640748,0.2936278049125788,0.65,0.78,0.69,0.8,0.42,0.67,0.65,0.5080226462971621,1746709217.7103415,distance,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,,,,,PowerTransformer,LFR_wrapper,0.1,10,2.0,,FunctionTransformer,,,36.74659705162048,success,0.022095394134521485,0.44_0.39_0.71_0.53_0.35,0.63_0.63_0.63_0.6_0.63,7.276515245437622,0.4841831886089146,0.72,0.73,0.82,1.0,0.53,0.83,0.73,0.6214671907268364,1746709139.1533818,,RandomForestClassifier,,,,,100,6,,2,2,3,,gini,False,,
FunctionTransformer,,,mitigation_normalization_rebalancing_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,10,2.0,,SelectKBest,,6,48.72922372817993,success,0.014721870422363281,0.5_0.53_0.7_0.62_0.5,0.65_0.65_0.62_0.62_0.63,5.639341402053833,0.567388292190047,0.74,0.73,0.83,1.0,0.59,0.84,0.76,0.633173985639223,1746709102.3713672,,RandomForestClassifier,,,,,10,6,,4,3,5,,gini,True,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.7813150882720947,success,0.10005626678466797,0.38_0.4_0.4_0.39_0.28,0.66_0.64_0.65_0.65_0.64,0.12694997787475587,0.3701899941782948,0.59,0.64,0.68,1.0,0.37,0.54,0.58,0.6478985598961098,1746709052.9073968,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
