rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__1_5,eval__by_group__1_3,eval__by_group__1_2,eval__by_group__1_0,eval__by_group__0_3,eval__by_group__0_2,eval__by_group__0_0,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,features_rebalancing_mitigation_normalization_classification,,False,,False,RobustScaler,FunctionTransformer,,,,,SelectKBest,,5,1.0967254638671875e-05,already_evaluated,0.014697027206420899,0.27_0.09_0.0_0.2_0.17,0.67_0.68_0.67_0.69_0.67,30.368779516220094,0.1455242947140727,0.33,0.5,0.52,1.0,0.15,0.51,0.6,0.6774508787487754,1746698267.509447,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,normalization_mitigation_features_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,2.0,100,1.0,,PCA,4,,1.0728836059570312e-05,already_evaluated,0.01927294731140137,0.25_0.24_0.24_0.62_0.35,0.58_0.65_0.62_0.63_0.61,1.5952293395996093,0.34084226454978567,0.49,0.63,0.7,0.94,0.43,0.82,0.86,0.6148699197555508,1746698267.5374699,,RandomForestClassifier,,,,,10,4,,4,2,1,,gini,True,,
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,100,0.1,,FunctionTransformer,,,5.245208740234375e-06,already_evaluated,0.02354717254638672,0.6_0.0_0.0_nan_0.11,0.59_0.58_0.48_0.5_0.62,6.801108455657959,-inf,0.33,0.63,0.48,0.86,0.19,0.49,0.71,0.5535752899792772,1746698267.5616753,,MLPClassifier,adam,10,,10,,,,,,,adaptive,,,0.001,logistic
NearMiss,1,,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.25,PCA,8,,9.059906005859375e-06,already_evaluated,0.09499454498291016,0.3_0.4_0.0_0.34_0.2,0.7_0.69_0.7_0.7_0.68,64.31597571372986,0.24638043011254068,0.56,0.57,0.55,1.0,0.25,0.52,0.56,0.694246534260253,1746698267.5857623,,MLPClassifier,lbfgs,50,,5,,,,,,,constant,,,0.001,logistic
SMOTE,,6,features_normalization_rebalancing_mitigation_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.75,FunctionTransformer,,,6.4373016357421875e-06,already_evaluated,0.008387088775634766,0.29_0.19_0.24_0.1_0.29,0.68_0.68_0.69_0.68_0.66,0.08656096458435059,0.2243445167379024,0.38,0.42,0.36,0.99,0.22,0.4,0.37,0.6802971734330377,1746698267.6108482,,RandomForestClassifier,,,,,10,3,,5,1,2,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,4,,7.152557373046875e-06,already_evaluated,0.019037675857543946,0.32_0.09_0.1_0.37_0.2,0.67_0.66_0.65_0.67_0.66,30.66116671562195,0.21334788516800854,0.45,0.59,0.6,1.0,0.22,0.57,0.72,0.6618743880573179,1746698267.6359181,,MLPClassifier,lbfgs,50,,1,,,,,,,constant,,,0.0001,logistic
SMOTE,,7,mitigation_normalization_features_rebalancing_classification,False,,True,,StandardScaler,LFR_wrapper,2.0,200,0.1,,PCA,4,,5.245208740234375e-06,already_evaluated,0.2523970127105713,0.0_0.21_0.0_0.44_0.0,0.51_0.51_0.51_0.53_0.51,4.146160650253296,0.12920702179176755,0.36,0.4,0.44,0.49,0.27,0.3,0.39,0.512822975579976,1746698267.6612403,uniform,KNeighborsClassifier,,,14,,,,manhattan,,,,,,,,
SMOTE,,5,features_rebalancing_normalization_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,1.0,10,2.0,,FunctionTransformer,,,4.291534423828125e-06,already_evaluated,0.02331991195678711,0.97_0.26_0.0_0.6_0.13,0.51_0.63_0.63_0.62_0.66,4.31620078086853,0.3924278498596467,0.65,0.7,0.77,0.82,0.4,0.77,0.74,0.6108210216217994,1746698267.6867433,,RandomForestClassifier,,,,,100,6,,4,2,4,,gini,False,,
FunctionTransformer,,,normalization_mitigation_rebalancing_features_classification,,False,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,5.0067901611328125e-06,already_evaluated,0.40708050727844236,0.0_0.0_0.0_0.35_0.0,0.5_0.51_0.5_0.52_0.5,3.0049241065979,0.0698051948051948,0.54,0.63,0.44,0.42,0.11,0.33,0.44,0.5068652219311975,1746698267.7147632,uniform,KNeighborsClassifier,,,8,,,,euclidean,,,,,,,,
NearMiss,2,,rebalancing_features_mitigation_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,3,5.0067901611328125e-06,already_evaluated,0.12502431869506836,0.48_0.0_0.12_0.37_0.11,0.66_0.65_0.64_0.65_0.64,0.05464992523193359,0.2162078880458805,0.49,0.64,0.6,0.99,0.23,0.65,0.7,0.6480796344572045,1746698267.7437682,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,1,,4.291534423828125e-06,already_evaluated,0.2027820587158203,0.0_0.0_0.0_0.0_0.0,0.5_0.51_0.51_0.51_0.51,4.324156475067139,0.0,0.18,0.34,0.31,0.42,0.0,0.35,0.31,0.5070985841564984,1746698267.772327,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,,,,,PowerTransformer,LFR_wrapper,1.0,200,0.1,,PCA,4,,4.291534423828125e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746698267.8011005,uniform,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
SMOTE,,8,features_normalization_rebalancing_mitigation_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,SelectKBest,,5,5.245208740234375e-06,already_evaluated,0,,,0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1746698267.8315423,distance,KNeighborsClassifier,,,14,,,,euclidean,,,,,,,,
SMOTE,,8,features_mitigation_normalization_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,7,,5.9604644775390625e-06,already_evaluated,0.07718596458435059,0.24_0.21_0.0_0.22_0.17,0.7_0.7_0.69_0.71_0.68,10.98909068107605,0.16880875552353955,0.41,0.54,0.53,1.0,0.17,0.54,0.63,0.6952667879299819,1746698267.8652618,,MLPClassifier,adam,25,,20,,,,,,,adaptive,,,0.001,relu
NearMiss,2,,rebalancing_mitigation_normalization_features_classification,True,,False,,StandardScaler,LFR_wrapper,1.0,10,1.0,,FunctionTransformer,,,1.0251998901367188e-05,already_evaluated,0.01852731704711914,0.67_0.33_0.0_0.61_0.18,0.63_0.64_0.63_0.62_0.64,6.2787049293518065,0.35909939182644807,0.66,0.69,0.79,0.8,0.41,0.77,0.72,0.6330090015490439,1746698267.9015768,,RandomForestClassifier,,,,,50,6,,5,4,5,,entropy,True,,
NearMiss,1,,normalization_rebalancing_mitigation_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,100,0.1,,PCA,4,,9.5367431640625e-06,already_evaluated,0.1541304588317871,0.2_0.23_0.11_0.3_0.24,0.64_0.64_0.63_0.63_0.64,1.8642995357513428,0.2166361253033115,0.41,0.53,0.59,0.99,0.23,0.67,0.8,0.6346330878000138,1746698267.9705462,uniform,KNeighborsClassifier,,,14,,,,minkowski,,,,,,,,
FunctionTransformer,,,features_mitigation_normalization_rebalancing_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,1.7881393432617188e-05,already_evaluated,0.013619089126586914,0.16_0.26_0.09_0.19_0.16,0.68_0.68_0.68_0.69_0.67,0.400048828125,0.16939273630105345,0.32,0.44,0.44,1.0,0.17,0.5,0.56,0.678332173446869,1746698268.043094,,RandomForestClassifier,,,,,50,6,,6,4,3,,gini,False,,
SMOTE,,7,features_normalization_mitigation_rebalancing_classification,,,,,MinMaxScaler,FunctionTransformer,,,,,PCA,8,,9.059906005859375e-06,already_evaluated,0.007524824142456055,0.18_0.27_0.0_0.22_0.18,0.69_0.69_0.68_0.7_0.68,1.7789522647857665,0.16942725214398352,0.4,0.55,0.56,1.0,0.17,0.56,0.64,0.69030898866095,1746698268.1131866,,MLPClassifier,lbfgs,25,,1,,,,,,,constant,,,1e-05,logistic
FunctionTransformer,,,features_normalization_rebalancing_mitigation_classification,False,,False,,StandardScaler,CorrelationRemover,,,,1.0,SelectKBest,,3,1.0013580322265625e-05,already_evaluated,0.08420090675354004,0.32_0.25_0.0_0.31_0.45,0.62_0.63_0.63_0.6_0.65,1.3946263790130615,0.26603763699776223,0.46,0.59,0.67,0.82,0.3,0.68,0.69,0.6266476222106739,1746698268.1979713,,MLPClassifier,sgd,10,,20,,,,,,,constant,,,0.001,logistic
