rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__male_single,eval__by_group__male_mar/wid,eval__by_group__male_div/sep,eval__by_group__female_div/dep/mar,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,1.0,10,2.0,,SelectKBest,,2,5.9604644775390625e-06,already_evaluated,0.01720004081726074,0.91_0.9_0.76_1.0_0.67,0.54_0.57_0.55_0.5_0.55,0.7030039310455323,0.8474358929721637,0.88,1.0,0.88,0.91,0.5392857142857143,1746706498.3548758,uniform,KNeighborsClassifier,,,8,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,5.7220458984375e-06,already_evaluated,0.006166934967041016,0.81_0.68_0.85_0.62_0.74,0.62_0.57_0.55_0.51_0.52,1.2473968982696533,0.7383515598209295,0.75,1.0,0.79,0.85,0.5538095238095238,1746706498.3660033,,MLPClassifier,lbfgs,25,,5,,,,,,,constant,,,1e-05,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,PowerTransformer,LFR_wrapper,1.0,200,2.0,,PCA,4,,3.814697265625e-06,already_evaluated,0.014056634902954102,nan_0.0_0.0_nan_0.0,0.5_0.48_0.5_0.5_0.5,0.856717872619629,-inf,0.36,0.33,0.0,0.46,0.49738095238095237,1746706498.3791785,uniform,KNeighborsClassifier,,,7,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.75,SelectKBest,,9,3.5762786865234375e-06,already_evaluated,0.008031606674194336,0.34_0.48_0.51_0.53_0.38,0.68_0.69_0.68_0.66_0.68,0.16063528060913085,0.44466608536021435,0.99,0.54,0.54,0.79,0.6783333333333333,1746706498.3928618,,RandomForestClassifier,,,,,75,6,,5,2,5,,entropy,True,,
FunctionTransformer,,,normalization_rebalancing_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,2.0,50,0.5,,SelectKBest,,7,4.0531158447265625e-06,already_evaluated,0.007705259323120117,0.98_1.0_1.0_0.9_0.96,0.52_0.5_0.5_0.51_0.53,0.8947132587432861,0.969024186822352,0.97,1.0,0.98,0.99,0.5109523809523809,1746706498.4083288,,RandomForestClassifier,,,,,50,6,,2,1,4,,gini,True,,
SMOTE,,5,features_mitigation_rebalancing_normalization_classification,,,,,PowerTransformer,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.031156349182128906,0.62_0.13_0.54_0.58_0.71,0.62_0.68_0.69_0.64_0.68,0.07305312156677246,0.5158572093961311,0.96,0.93,0.53,0.76,0.6626190476190477,1746706498.4240355,uniform,KNeighborsClassifier,,,6,,,,manhattan,,,,,,,,
SMOTE,,6,rebalancing_mitigation_features_normalization_classification,,True,,True,RobustScaler,LFR_wrapper,1.0,100,0.1,,PCA,7,,3.337860107421875e-06,already_evaluated,0.011539411544799805,0.62_0.68_0.84_0.67_0.53,0.54_0.57_0.54_0.51_0.55,1.672300100326538,0.6676209083701439,0.76,0.92,0.79,0.84,0.5438095238095239,1746706498.441198,,RandomForestClassifier,,,,,100,4,,2,3,4,,gini,True,,
SMOTE,,6,mitigation_normalization_rebalancing_features_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,3.5762786865234375e-06,already_evaluated,0.07768974304199219,0.58_0.88_0.87_0.65_0.41,0.52_0.58_0.54_0.53_0.53,0.033541297912597655,0.6753095223014358,0.77,0.97,0.81,0.78,0.5411904761904761,1746706498.4584944,distance,KNeighborsClassifier,,,12,,,,minkowski,,,,,,,,
NearMiss,1,,rebalancing_mitigation_features_normalization_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,7,,3.337860107421875e-06,already_evaluated,0.010796451568603515,0.64_0.51_0.84_0.85_0.74,0.59_0.54_0.54_0.56_0.51,3.3940333843231203,0.7186558904907528,0.75,0.99,0.76,0.88,0.5495238095238095,1746706498.4765196,,RandomForestClassifier,,,,,50,4,,6,3,4,,gini,False,,
NearMiss,2,,mitigation_features_normalization_rebalancing_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,2.0,,FunctionTransformer,,,3.337860107421875e-06,already_evaluated,0.046417856216430665,1.0_1.0_1.0_1.0_1.0,0.5_0.5_0.5_0.5_0.5,3.4479674816131594,1.0,1.0,1.0,1.0,1.0,0.5,1746706498.4952555,,MLPClassifier,sgd,50,,20,,,,,,,invscaling,,,0.01,logistic
NearMiss,3,,rebalancing_mitigation_features_normalization_classification,,True,,False,RobustScaler,LFR_wrapper,0.1,10,2.0,,PCA,8,,3.337860107421875e-06,already_evaluated,0.006102085113525391,0.79_0.6_0.66_0.71_0.15,0.61_0.55_0.54_0.52_0.53,5.351231098175049,0.5818242386990538,0.68,1.0,0.66,0.83,0.5485714285714286,1746706498.5168939,,MLPClassifier,adam,5,,5,,,,,,,constant,,,1e-05,relu
